Year,Category,Full Name,Movie,Win
2017,Best Performance by an Actress in a Motion Picture - Drama,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",TRUE
2017,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,The Post,FALSE
2017,Best Performance by an Actress in a Motion Picture - Drama,Michelle Williams,All The Money In The World,FALSE
2017,Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain,Molly's Game,FALSE
2017,Best Performance by an Actress in a Motion Picture - Drama,Sally Hawkins,The Shape of Water,FALSE
2017,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Saoirse Ronan,Lady Bird,TRUE
2017,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Judi Dench,Victoria & Abdul,FALSE
2017,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helen Mirren,"Leisure Seeker, The ",FALSE
2017,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Margot Robbie,"I, Tonya",FALSE
2017,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,Battle of the Sexes,FALSE
2017,Best Performance by an Actress in a Supporting Role in any Motion Picture,Allison Janney,"I, Tonya",TRUE
2017,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mary J. Blige,Mudbound,FALSE
2017,Best Performance by an Actress in a Supporting Role in any Motion Picture,Hong Chau,Downsizing,FALSE
2017,Best Performance by an Actress in a Supporting Role in any Motion Picture,Laurie Metcalf,Lady Bird,FALSE
2017,Best Performance by an Actress in a Supporting Role in any Motion Picture,Octavia Spencer,The Shape of Water,FALSE
2018,Best Director - Motion Picture,Alfonso Cuarón,Roma,TRUE
2018,Best Director - Motion Picture,Bradley Cooper,"Star Is Born, A (2018)",FALSE
2018,Best Director - Motion Picture,Peter Farrelly,Green Book,FALSE
2018,Best Director - Motion Picture,Spike Lee,BlacKkKlansman,FALSE
2018,Best Director - Motion Picture,Adam McKay,Vice,FALSE
2018,Best Motion Picture - Drama,Bryan Singer and Dexter Fletcher,Bohemian Rhapsody,TRUE
2018,Best Motion Picture - Drama,Spike Lee,BlacKkKlansman,FALSE
2018,Best Motion Picture - Drama,Barry Jenkins,If Beale Street Could Talk,FALSE
