Year,Category,Director,Film,Result
2014,Directing,Richard Linklater,Boyhood,Winner
2014,Directing,Wes Anderson,The Grand Budapest Hotel,Nominee
2014,Directing,Damien Chazelle,Whiplash,Nominee
2014,Directing,Alejandro G. Iñárritu,Birdman,Nominee
2014,Directing,James Marsh,The Theory of Everything,Nominee
2015,Directing,Alejandro G. Iñárritu,The Revenant,Winner
2015,Directing,Todd Haynes,Carol,Nominee
2015,Directing,Adam McKay,The Big Short,Nominee
2015,Directing,Ridley Scott,The Martian,Nominee
2015,Directing,Steven Spielberg,Bridge of Spies,Nominee
2016,Directing,Damien Chazelle,La La Land,Winner
2016,Directing,Tom Ford,Nocturnal Animals,Nominee
2016,Directing,Ken Loach,"I, Daniel Blake",Nominee
2016,Directing,Kenneth Lonergan,Manchester by the Sea,Nominee
2016,Directing,Denis Villeneuve,Arrival,Nominee
2017,Directing,Guillermo del Toro,The Shape of Water,Winner
2017,Directing,Luca Guadagnino,Call Me by Your Name,Nominee
2017,Directing,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",Nominee
2017,Directing,Christopher Nolan,Dunkirk,Nominee
2017,Directing,Denis Villeneuve,Blade Runner 2049,Nominee
2018,Directing,Alfonso Cuarón,Roma,Winner
2018,Directing,Bradley Cooper,A Star Is Born,Nominee
2018,Directing,Yorgos Lanthimos,The Favourite,Nominee
2018,Directing,Spike Lee,BlacKkKlansman,Nominee
2018,Directing,Paweł Pawlikowski,Cold War,Nominee
2019,Directing,Sam Mendes,1917,Winner
2019,Directing,Bong Joon-ho,Parasite,Nominee
2019,Directing,Todd Phillips,Joker,Nominee
2019,Directing,Martin Scorsese,The Irishman,Nominee
2019,Directing,Quentin Tarantino,Once Upon a Time in Hollywood,Nominee
2020,Directing,Chloé Zhao,Nomadland,Winner
2020,Directing,Lee Isaac Chung,Minari,Nominee
2020,Directing,Sarah Gavron,Rocks,Nominee
2020,Directing,Shannon Murphy,Babyteeth,Nominee
2020,Directing,Thomas Vinterberg,Another Round,Nominee
2020,Directing,Jasmila Žbanić,"Quo Vadis, Aida?",Nominee
2021,Directing,Jane Campion,The Power of the Dog,Winner
2021,Directing,Paul Thomas Anderson,Licorice Pizza,Nominee
2021,Directing,Audrey Diwan,Happening,Nominee
2021,Directing,Julia Ducournau,Titane,Nominee
2021,Directing,Ryusuke Hamaguchi,Drive My Car,Nominee
2021,Directing,Aleem Khan,After Love,Nominee
2022,Directing,Edward Berger,All Quiet on the Western Front,Winner
2022,Directing,Park Chan-wook,Decision to Leave,Nominee
2022,Directing,Todd Field,Tár,Nominee
2022,Directing,Daniel Kwan and Daniel Scheinert,Everything Everywhere All at Once,Nominee
2022,Directing,Martin McDonagh,The Banshees of Inisherin,Nominee
2022,Directing,Gina Prince-Bythewood,The Woman King,Nominee
2023,Directing,Christopher Nolan,Oppenheimer,Winner
2023,Directing,Andrew Haigh,All of Us Strangers,Nominee
2023,Directing,Justine Triet,Anatomy of a Fall,Nominee
2023,Directing,Alexander Payne,The Holdovers,Nominee
2023,Directing,Bradley Cooper,Maestro,Nominee
2023,Directing,Jonathan Glazer,The Zone of Interest,Nominee
